"BehaviorSpace results (NetLogo 6.2.0)"
"main.nlogo"
"experiment"
"11/10/2021 12:33:53:002 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4"
"starting_food","20",,"15",,"10",,"5",
"reproduction_chance","1",,"1",,"1",,"1",
"max_waste","5",,"5",,"5",,"5",
"food_energy_amount","26",,"26",,"26",,"26",
"num_cleaners","50",,"50",,"50",,"50",
"starting_energy","100",,"100",,"100",,"100",
"show_energy","true",,"true",,"true",,"true",
"starting_normal_waste","13",,"13",,"13",,"13",
"reproduce_gluttons","true",,"true",,"true",,"true",
"show_waste","false",,"false",,"false",,"false",
"starting_toxic_waste","12",,"12",,"12",,"12",
"n_deposits","10",,"10",,"10",,"10",
"infinite_ticks","false",,"false",,"false",,"false",
"ticks_end","10000",,"10000",,"10000",,"10000",
"reproduce_cleaners","false",,"false",,"false",,"false",
"num_gluttons","30",,"30",,"30",,"30",
"[reporter]","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners"
,"62","50","77","45","46","35","14","19"
,"63","50","76","45","46","35","14","17"
,"63","50","76","45","44","35","14","17"
,"63","50","77","45","44","34","15","17"
,"63","50","76","44","45","34","15","17"
,"65","50","78","44","44","34","15","17"
,"63","50","80","44","44","34","15","17"
,"63","50","82","44","43","34","15","17"
,"63","50","83","44","43","34","15","17"
,"65","50","84","44","44","34","14","17"
,"65","50","85","44","44","33","14","17"
,"66","50","85","44","44","33","14","16"
,"66","50","86","44","44","33","14","16"
,"64","50","86","44","44","33","14","16"
,"63","50","87","44","45","33","14","16"
,"66","50","90","44","44","33","14","16"
,"67","50","91","44","43","32","14","14"
,"67","50","93","44","43","32","14","14"
,"67","50","95","44","43","32","14","14"
,"67","50","96","44","43","32","16","13"
,"68","50","97","44","43","32","16","12"
,"68","50","98","44","44","32","16","12"
,"68","50","99","44","44","32","16","12"
,"68","50","99","44","45","32","16","12"
,"68","50","100","44","45","32","16","12"
,"68","50","103","44","43","32","16","12"
,"69","50","104","44","41","32","16","12"
,"71","50","105","44","41","32","16","12"
,"72","50","106","44","40","32","15","12"
,"72","50","108","44","40","32","14","12"
,"73","50","109","44","39","31","14","12"
,"74","50","109","44","38","31","15","12"
,"75","50","110","44","38","31","16","12"
,"75","50","110","44","38","31","16","12"
,"76","50","112","44","37","31","16","12"
,"78","50","115","44","36","31","16","12"
,"80","50","115","44","36","31","16","12"
,"82","50","116","44","36","31","15","12"
,"82","50","117","44","37","31","14","12"
,"82","50","117","44","37","31","14","12"
,"82","50","116","44","36","30","14","12"
,"82","50","116","44","36","30","14","12"
,"83","50","115","44","37","30","14","11"
,"85","50","116","44","36","30","14","11"
,"85","50","117","44","36","29","14","11"
,"85","50","118","44","36","29","14","10"
,"86","50","119","44","37","29","14","10"
,"87","50","120","44","37","29","14","10"
,"88","50","120","44","37","29","14","10"
,"88","50","120","44","37","29","14","10"
,"90","50","122","44","37","29","14","10"
,"89","50","122","44","38","29","15","10"
,"91","50","124","44","38","29","15","10"
,"93","50","126","44","38","28","15","10"
,"93","50","126","44","38","28","14","10"
,"95","50","125","44","38","28","14","10"
,"96","50","125","44","38","28","14","10"
,"96","50","126","44","38","28","14","10"
,"96","50","129","44","37","28","14","10"
,"97","50","130","43","35","28","13","10"
,"97","50","130","43","34","28","13","10"
,"97","50","131","43","34","28","13","10"
,"98","50","134","42","34","28","13","10"
,"98","50","135","42","34","28","13","10"
,"97","50","135","42","34","28","12","10"
,"99","50","137","41","34","28","12","9"
,"99","50","138","41","34","28","12","9"
,"99","50","140","41","34","28","12","9"
,"99","50","140","41","34","28","12","9"
,"100","50","140","41","33","28","11","9"
,"100","50","140","41","33","28","11","9"
,"101","50","141","41","33","28","11","9"
,"102","50","141","41","33","28","11","9"
,"102","50","141","41","33","28","11","9"
,"103","50","142","41","33","28","11","9"
,"104","50","145","41","33","28","11","9"
,"106","50","146","41","33","28","11","8"
,"107","50","148","41","33","28","11","8"
,"108","50","149","41","33","28","11","8"
,"108","50","151","41","32","28","10","7"
,"112","50","152","41","32","28","10","7"
,"111","50","153","41","32","28","10","6"
,"112","50","154","41","32","28","10","6"
,"112","50","154","41","32","28","10","6"
,"114","50","154","41","32","28","10","6"
,"117","50","156","41","32","28","10","6"
,"117","50","156","41","32","28","10","6"
,"119","50","158","41","33","28","10","6"
,"121","50","158","41","32","28","10","6"
,"122","50","161","41","32","28","9","6"
,"122","50","163","41","32","28","9","6"
,"122","50","165","41","32","28","9","6"
,"122","50","165","41","32","28","9","6"
,"124","50","165","41","33","28","9","6"
,"125","50","167","41","33","28","9","6"
,"127","50","168","41","33","28","9","6"
,"127","50","168","41","31","28","9","6"
,"127","50","169","41","31","28","9","6"
,"131","50","171","41","33","28","8","6"
,"131","50","172","41","33","28","8","6"
,"134","50","175","41","33","28","8","6"
,"137","50","175","41","33","28","8","6"
,"138","50","174","41","33","28","8","6"
,"140","50","177","41","33","28","8","6"
,"140","50","177","41","33","28","9","6"
,"144","50","182","41","33","28","9","6"
,"146","50","181","41","33","28","9","6"
,"145","50","182","41","32","28","9","6"
,"148","50","181","41","33","28","9","6"
,"149","50","183","41","33","28","9","6"
,"150","50","182","41","35","28","9","6"
,"152","50","181","41","37","27","9","6"
,"154","50","182","41","37","27","9","5"
,"155","50","181","41","37","27","9","5"
,"157","50","184","41","37","27","10","5"
,"157","50","186","41","38","27","9","5"
,"157","50","186","41","38","27","9","5"
,"159","50","186","41","39","27","9","5"
,"162","50","184","40","38","27","8","4"
,"162","50","185","40","38","27","8","4"
,"162","50","187","40","37","27","8","4"
,"162","50","189","40","36","26","7","4"
,"162","50","191","40","37","26","7","4"
,"163","50","193","40","37","26","7","4"
,"163","50","193","40","37","26","6","4"
,"164","50","195","40","36","26","6","4"
,"168","50","195","40","36","26","6","4"
,"170","50","194","40","36","26","6","4"
,"172","50","197","40","35","26","6","4"
,"172","50","199","40","34","26","6","4"
,"175","50","202","40","34","26","6","4"
,"175","50","203","40","34","26","6","4"
,"176","50","201","40","34","26","6","3"
,"176","50","204","40","33","26","6","3"
,"178","50","205","40","34","26","6","3"
,"178","50","206","40","33","26","6","3"
,"178","50","208","40","33","26","5","3"
,"179","50","211","40","33","26","5","3"
,"181","50","211","40","33","26","5","3"
,"182","50","211","39","33","26","5","3"
,"186","50","213","39","32","26","5","2"
,"187","50","215","39","32","26","5","1"
,"188","50","217","39","32","26","5","1"
,"191","50","219","39","31","26","5","0"
,"192","50","220","39","31","26","5","0"
,"191","50","218","38","31","26","5","0"
,"190","50","218","38","31","26","5","0"
,"190","50","218","38","31","26","5","0"
,"189","50","219","38","30","26","5","0"
,"191","50","219","38","30","26","5","0"
,"195","50","220","38","30","26","5","0"
,"196","50","221","38","31","26","5","0"
,"198","50","221","38","31","25","5","0"
,"201","50","221","38","31","25","5","0"
,"202","50","222","38","31","25","5","0"
,"201","50","225","38","31","25","5","0"
,"205","50","224","38","31","25","5","0"
,"205","50","225","38","32","25","4","0"
,"207","50","226","38","33","25","3","0"
,"211","50","226","38","33","24","3","0"
,"211","50","231","38","33","24","3","0"
,"211","50","236","38","34","24","3","0"
,"212","50","236","38","35","24","3","0"
,"213","50","235","38","36","24","3","0"
,"214","50","235","38","37","24","3","0"
,"215","50","238","38","38","24","2","0"
,"216","50","239","38","38","24","2","0"
,"219","50","238","38","38","24","2","0"
,"222","50","237","38","39","23","2","0"
,"222","50","236","38","39","23","1","0"
,"223","50","239","38","39","23","1","0"
,"224","50","238","38","39","23","1","0"
,"224","50","240","38","39","23","1","0"
,"221","50","242","38","39","23","1","0"
,"223","50","243","38","39","23","1","0"
,"224","50","245","38","39","23","1","0"
,"226","50","243","38","39","23","1","0"
,"228","50","244","37","39","23","1","0"
,"229","50","243","37","39","23","1","0"
,"233","50","246","37","38","23","1","0"
,"234","50","247","37","38","23","1","0"
,"235","50","248","37","38","23","1","0"
,"236","50","249","37","37","23","1","0"
,"238","50","250","37","37","23","1","0"
,"239","50","249","37","36","23","1","0"
,"242","50","249","37","36","23","1","0"
,"243","50","250","37","36","22","1","0"
,"247","50","253","37","36","22","1","0"
,"251","50","251","37","36","22","1","0"
,"252","50","251","37","35","22","1","0"
,"253","50","250","37","35","22","1","0"
,"255","50","253","37","34","22","1","0"
,"257","50","255","37","33","22","1","0"
,"258","50","254","37","34","22","1","0"
,"259","50","256","37","34","22","1","0"
,"259","50","256","37","34","22","1","0"
,"260","50","258","37","34","22","1","0"
,"261","50","261","37","34","22","1","0"
,"264","50","264","37","33","22","1","0"
,"264","50","264","37","34","22","2","0"
,"269","50","264","37","36","22","2","0"
,"275","50","267","37","37","22","2","0"
,"281","50","271","37","38","21","2","0"
