"[reporter]","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners"
,"38","0","33","0","38","0","37","0","43","0","42","50","41","50","43","50","31","50","40","50"
,"38","0","32","0","39","0","38","0","43","0","43","50","42","50","42","50","31","50","39","50"
,"38","0","33","0","39","0","38","0","43","0","43","50","42","50","42","50","31","50","38","50"
,"38","0","33","0","38","0","38","0","43","0","43","50","44","50","42","50","32","50","38","50"
,"38","0","33","0","39","0","39","0","41","0","43","50","44","50","42","50","31","50","38","50"
,"37","0","33","0","39","0","38","0","41","0","43","50","44","50","41","50","31","50","38","50"
,"37","0","32","0","39","0","38","0","41","0","43","50","44","50","41","50","31","50","38","50"
,"37","0","31","0","39","0","37","0","41","0","43","50","46","50","40","50","31","50","37","50"
,"37","0","31","0","38","0","37","0","41","0","43","49","46","50","40","50","31","50","36","50"
,"37","0","31","0","38","0","37","0","41","0","42","49","46","50","40","50","31","50","36","50"
,"39","0","31","0","38","0","37","0","41","0","43","49","45","50","40","50","31","50","35","50"
,"38","0","32","0","38","0","37","0","41","0","44","49","44","50","39","50","31","50","35","50"
,"39","0","32","0","38","0","37","0","41","0","46","49","45","50","39","50","31","50","34","50"
,"38","0","32","0","37","0","37","0","41","0","46","49","46","50","40","50","30","50","37","50"
,"38","0","32","0","37","0","36","0","40","0","46","49","46","50","40","49","30","50","37","50"
,"37","0","32","0","38","0","35","0","40","0","46","49","45","50","40","49","29","49","38","50"
,"37","0","31","0","37","0","34","0","40","0","47","49","45","50","39","49","29","49","38","50"
,"38","0","31","0","37","0","34","0","40","0","47","49","45","50","39","49","29","49","38","50"
,"37","0","31","0","36","0","34","0","40","0","48","49","45","50","40","48","29","49","36","50"
,"36","0","32","0","37","0","33","0","40","0","46","49","46","50","41","48","29","49","36","50"
,"36","0","31","0","37","0","33","0","40","0","45","49","47","50","41","47","27","49","35","50"
,"35","0","32","0","37","0","32","0","40","0","46","48","47","50","43","47","27","49","35","50"
,"34","0","33","0","36","0","34","0","39","0","46","48","49","50","45","47","27","49","35","50"
,"34","0","32","0","36","0","36","0","39","0","46","48","49","50","45","46","27","49","36","50"
,"33","0","32","0","37","0","37","0","38","0","46","48","48","50","44","46","28","49","36","50"
,"33","0","32","0","37","0","37","0","39","0","45","47","48","49","43","46","27","49","35","48"
,"33","0","32","0","36","0","37","0","37","0","45","47","48","49","42","46","27","49","35","48"
,"33","0","32","0","36","0","37","0","38","0","44","47","47","49","43","46","27","48","35","48"
,"32","0","32","0","36","0","36","0","39","0","44","47","47","49","43","46","27","48","35","47"
,"32","0","31","0","34","0","34","0","39","0","44","47","47","49","43","46","27","48","34","47"
,"32","0","30","0","34","0","34","0","39","0","43","47","47","48","43","46","27","48","33","47"
,"31","0","30","0","34","0","33","0","39","0","43","46","47","48","44","46","27","48","33","47"
,"31","0","30","0","34","0","33","0","39","0","42","46","48","48","45","45","27","47","32","47"
,"31","0","29","0","34","0","32","0","40","0","42","46","48","48","46","45","27","47","33","47"
,"31","0","30","0","33","0","32","0","40","0","43","46","48","48","47","45","27","47","32","47"
,"30","0","30","0","33","0","33","0","40","0","43","46","46","48","48","43","27","47","32","47"
,"30","0","30","0","34","0","33","0","41","0","43","46","46","48","47","43","28","47","32","45"
,"30","0","31","0","33","0","32","0","41","0","42","46","46","48","47","43","29","46","32","45"
,"30","0","31","0","32","0","32","0","40","0","45","46","48","47","48","43","29","46","30","43"
,"31","0","28","0","31","0","32","0","40","0","44","46","49","47","48","43","29","46","30","43"
,"31","0","28","0","31","0","32","0","39","0","44","46","48","47","48","43","28","46","29","42"
,"31","0","28","0","30","0","33","0","39","0","45","46","47","47","48","42","27","46","28","42"
,"31","0","28","0","29","0","33","0","39","0","46","46","46","46","48","42","29","46","28","41"
,"33","0","28","0","29","0","33","0","39","0","46","45","46","46","48","40","30","46","28","39"
,"32","0","29","0","28","0","32","0","39","0","46","45","47","45","48","40","31","43","28","39"
,"32","0","28","0","28","0","32","0","39","0","46","45","46","45","49","40","31","43","28","39"
,"34","0","28","0","27","0","32","0","39","0","47","45","46","45","49","40","31","43","29","39"
,"34","0","27","0","27","0","32","0","39","0","48","44","46","45","49","40","33","41","29","39"
,"34","0","27","0","27","0","32","0","39","0","47","44","44","45","48","40","32","41","30","38"
,"34","0","25","0","27","0","33","0","39","0","48","44","44","45","47","40","32","41","29","38"
,"34","0","26","0","27","0","33","0","39","0","48","44","44","45","48","40","32","40","29","38"
,"34","0","25","0","27","0","33","0","40","0","49","44","44","45","47","40","32","40","29","38"
,"34","0","27","0","28","0","33","0","40","0","49","44","42","45","46","40","33","40","29","38"
,"33","0","27","0","28","0","33","0","40","0","49","44","42","45","46","40","33","40","29","38"
,"33","0","26","0","28","0","33","0","41","0","49","44","42","45","46","40","32","40","29","38"
,"33","0","26","0","28","0","33","0","40","0","50","44","41","45","44","40","31","40","28","38"
,"32","0","26","0","26","0","30","0","40","0","51","44","41","45","42","40","31","40","28","38"
,"31","0","24","0","26","0","30","0","40","0","51","44","41","44","43","40","31","40","30","37"
,"31","0","24","0","26","0","30","0","39","0","52","44","40","44","42","40","31","39","30","37"
,"31","0","25","0","26","0","30","0","39","0","52","44","41","44","42","39","31","39","31","37"
,"32","0","25","0","26","0","30","0","39","0","52","44","42","44","41","39","31","39","30","37"
,"32","0","25","0","25","0","30","0","38","0","52","44","42","44","40","39","30","39","31","37"
,"32","0","24","0","24","0","30","0","37","0","53","44","42","44","40","38","30","39","31","36"
,"34","0","22","0","24","0","30","0","37","0","54","44","41","44","40","38","30","39","31","36"
,"34","0","21","0","24","0","30","0","35","0","53","44","41","44","39","37","32","39","31","36"
,"34","0","21","0","24","0","30","0","34","0","54","44","41","44","38","37","31","38","32","36"
,"32","0","21","0","22","0","31","0","33","0","55","44","41","44","38","36","31","38","32","35"
,"32","0","21","0","22","0","31","0","33","0","55","44","41","44","38","36","32","38","31","35"
,"32","0","21","0","22","0","31","0","32","0","56","44","41","44","38","36","32","38","31","35"
,"32","0","21","0","22","0","29","0","30","0","56","44","40","44","39","36","31","38","32","34"
,"33","0","20","0","22","0","29","0","31","0","56","44","40","44","39","36","31","38","32","34"
,"32","0","20","0","22","0","30","0","31","0","57","42","41","44","39","35","30","38","32","33"
,"32","0","21","0","22","0","30","0","31","0","57","41","41","44","41","35","30","38","32","33"
,"32","0","21","0","21","0","30","0","31","0","57","41","41","44","41","35","29","38","32","33"
,"32","0","22","0","21","0","29","0","31","0","58","41","41","44","41","35","31","38","32","33"
