"BehaviorSpace results (NetLogo 6.2.0)"
"main.nlogo"
"experiment"
"11/10/2021 12:08:54:529 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","2","2","3","3","4","4","5","5"
"starting_food","10",,"10",,"10",,"10",,"10",
"reproduction_chance","1",,"1",,"1",,"1",,"1",
"max_waste","100",,"50",,"25",,"10",,"5",
"food_energy_amount","26",,"26",,"26",,"26",,"26",
"num_cleaners","50",,"50",,"50",,"50",,"50",
"starting_energy","100",,"100",,"100",,"100",,"100",
"show_energy","true",,"true",,"true",,"true",,"true",
"starting_normal_waste","13",,"13",,"13",,"13",,"13",
"reproduce_gluttons","true",,"true",,"true",,"true",,"true",
"show_waste","false",,"false",,"false",,"false",,"false",
"starting_toxic_waste","12",,"12",,"12",,"12",,"12",
"n_deposits","10",,"10",,"10",,"10",,"10",
"infinite_ticks","false",,"false",,"false",,"false",,"false",
"ticks_end","10000",,"10000",,"10000",,"10000",,"10000",
"reproduce_cleaners","false",,"false",,"false",,"false",,"false",
"num_gluttons","30",,"30",,"30",,"30",,"30",
"[reporter]","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners","count gluttons","count cleaners"
,"39","12","40","10","27","7","50","9","42","41"
,"38","11","41","9","27","7","47","9","42","41"
,"38","11","42","9","27","7","47","9","41","40"
,"38","10","42","9","26","7","46","9","41","40"
,"37","9","43","9","26","7","46","9","41","40"
,"37","9","43","9","26","7","44","9","41","40"
,"37","8","43","9","26","7","44","9","41","38"
,"37","8","43","9","26","7","45","9","41","38"
,"37","8","42","9","24","6","44","9","42","38"
,"38","8","43","9","23","6","44","9","42","38"
,"37","8","43","9","23","6","44","9","43","38"
,"38","8","43","9","23","6","44","9","43","38"
,"38","8","41","9","22","6","44","9","43","38"
,"38","8","41","9","22","5","43","8","44","38"
,"38","8","42","9","21","5","43","8","42","38"
,"38","8","40","9","21","5","42","7","42","38"
,"39","8","39","9","21","4","42","7","40","38"
,"39","8","39","9","22","4","42","7","41","37"
,"39","8","40","9","21","3","42","6","42","37"
,"40","8","40","9","20","3","43","6","42","37"
,"40","8","40","9","20","3","44","6","43","36"
,"40","8","39","9","19","3","43","6","43","36"
,"40","8","38","9","19","3","43","6","43","35"
,"40","8","38","9","19","3","43","6","43","35"
,"40","8","37","9","19","3","43","6","43","35"
,"40","8","36","9","19","3","43","6","43","35"
,"41","8","35","9","19","3","43","6","44","35"
